gene	transcript_abund
KPN_00299	200.857
KPN_00300	42.09
KPN_00301	96.869
KPN_00302	99.345
KPN_00303	132.924
KPN_00304	152.267
KPN_00305	141.745
KPN_00306	113.582
KPN_00307	237.84
KPN_00308	183.061
KPN_00309	343.375
KPN_00310	226.08
KPN_00311	236.138
KPN_00312	170.991
KPN_00313	152.422
KPN_00314	206.892
KPN_00315	246.197
KPN_00316	236.912
KPN_00317	193.12
KPN_00318	105.535
KPN_00319	251.303
KPN_00320	207.046
KPN_00321	66.23
KPN_00322	36.674
KPN_00323	277.764
KPN_00324	112.344
KPN_00325	177.181
KPN_00326	66.694
KPN_00327	351.577
KPN_00328	74.277
KPN_00329	203.952
KPN_00330	88.668
KPN_00331	170.682
KPN_00332	135.555
KPN_00333	47.661
KPN_00334	168.206
KPN_00335	82.633
KPN_00336	221.128
KPN_00337	231.651
KPN_00338	575.026
KPN_00339	213.7
KPN_00340	168.206
KPN_00341	285.192
KPN_00342	318.462
KPN_00343	299.583
KPN_00344	259.04
KPN_00345	128.437
KPN_00346	108.011
KPN_00347	81.859
KPN_00348	284.882
KPN_00349	129.675
KPN_00350	157.219
KPN_00351	265.23
KPN_00352	69.789
KPN_00353	106.463
KPN_00354	165.111
KPN_00355	91.144
KPN_00356	192.965
KPN_00357	279.312
KPN_00358	113.117
KPN_00359	453.862
KPN_00360	243.411
KPN_00361	50.446
KPN_00362	108.475
KPN_00363	222.985
KPN_00364	102.131
KPN_00365	109.868
KPN_00366	265.075
KPN_00367	153.041
KPN_00368	161.397
KPN_00369	238.305
KPN_00370	115.129
KPN_00371	224.223
KPN_00372	456.647
KPN_00373	217.879
KPN_00374	60.35
KPN_00375	358.85
KPN_00376	86.501
KPN_00377	102.75
KPN_00378	161.242
KPN_00379	133.698
KPN_00380	224.378
KPN_00381	176.098
KPN_00382	177.336
KPN_00383	105.535
KPN_00384	218.033
KPN_00385	41.162
KPN_00386	221.438
KPN_00387	109.558
KPN_00388	183.061
KPN_00389	78.145
KPN_00390	226.389
KPN_00391	84.954
KPN_00392	153.815
KPN_00393	498.738
KPN_00394	231.496
KPN_00395	308.713
KPN_00396	135.246
KPN_00397	80.621
KPN_00398	629.96
KPN_00399	298.036
KPN_00400	429.722
KPN_00401	703.618
KPN_00402	167.742
KPN_00403	471.657
KPN_00404	63.754
KPN_00405	97.488
KPN_00406	172.848
KPN_00407	414.867
KPN_00408	193.12
KPN_00409	154.743
KPN_00410	80.776
KPN_00411	321.402
KPN_00412	290.763
KPN_00413	67.313
KPN_00414	252.386
KPN_00415	191.417
KPN_00416	121.473
KPN_00417	73.194
KPN_00418	99.345
KPN_00419	65.302
KPN_00420	53.696
KPN_00421	229.948
KPN_00422	93.155
KPN_00423	128.282
KPN_00424	80.931
KPN_00425	293.084
KPN_00426	168.67
KPN_00427	298.19
KPN_00428	195.131
KPN_00429	120.854
KPN_00430	173.622
KPN_00431	278.383
KPN_00432	40.233
KPN_00433	173.931
KPN_00434	217.105
KPN_00435	67.004
KPN_00436	36.674
KPN_00437	172.693
KPN_00438	350.029
KPN_00439	115.438
KPN_00440	140.816
KPN_00441	62.516
KPN_00442	99.655
KPN_00443	875.537
KPN_00444	315.831
KPN_00445	146.697
KPN_00446	630.424
KPN_00447	203.333
KPN_00448	31.877
KPN_00449	97.024
KPN_00450	91.453
KPN_00451	136.484
KPN_00452	469.646
KPN_00453	100.583
KPN_00454	150.101
KPN_00455	462.528
KPN_00456	162.945
KPN_00458	310.26
KPN_00459	350.184
KPN_00460	207.665
KPN_00461	361.171
KPN_00462	114.974
KPN_00463	175.479
KPN_00464	627.793
KPN_00465	93.62
KPN_00466	111.106
KPN_00467	223.449
KPN_00468	135.555
KPN_00469	166.968
KPN_00470	209.213
KPN_00471	197.452
KPN_00472	144.685
KPN_00473	133.698
KPN_00474	408.058
KPN_00475	181.978
KPN_00476	174.86
KPN_00477	262.599
KPN_00478	127.508
KPN_00479	47.661
KPN_00480	130.294
KPN_00481	190.953
KPN_00482	347.089
KPN_00483	54.47
KPN_00484	221.592
KPN_00485	28.782
KPN_00487	43.173
KPN_00488	99.5
KPN_00489	321.092
KPN_00490	82.169
KPN_00491	82.633
KPN_00492	90.37
KPN_00493	314.903
KPN_00494	131.532
KPN_00495	211.379
KPN_00496	222.521
KPN_00497	70.099
KPN_00498	249.91
KPN_00499	177.8
KPN_00500	283.799
KPN_00501	185.228
KPN_00502	248.053
KPN_00503	100.119
KPN_00504	116.831
KPN_00505	148.863
KPN_00506	135.246
KPN_00507	136.793
KPN_00508	143.756
KPN_00509	157.374
KPN_00510	247.899
KPN_00511	162.48
KPN_00512	209.368
KPN_00513	185.692
KPN_00514	176.253
KPN_00515	191.417
KPN_00516	116.212
KPN_00517	220.509
KPN_00518	195.131
KPN_00519	260.433
KPN_00520	275.288
KPN_00521	97.179
KPN_00522	15.784
KPN_00523	255.791
KPN_00524	181.05
KPN_00525	232.27
KPN_00526	103.523
KPN_00527	229.948
KPN_00528	153.815
KPN_00529	113.736
KPN_00530	226.389
KPN_00531	98.107
KPN_00532	210.296
KPN_00533	52.148
KPN_00534	181.359
KPN_00535	363.182
KPN_00536	427.556
KPN_00537	280.55
KPN_00538	153.351
KPN_00539	133.079
KPN_00540	156.136
KPN_00541	56.327
KPN_00542	209.987
KPN_00543	302.987
KPN_00544	211.689
KPN_00545	218.188
KPN_00546	481.716
KPN_00547	128.746
KPN_00548	138.031
KPN_00549	112.189
KPN_00550	93.31
KPN_00551	58.957
KPN_00552	61.588
KPN_00553	164.028
KPN_00554	61.588
KPN_00555	139.578
KPN_00556	80.466
KPN_00557	53.696
KPN_00558	15.629
KPN_00559	669.729
KPN_00560	220.509
KPN_00561	576.573
KPN_00562	160.314
KPN_00563	267.242
KPN_00564	213.236
KPN_00565	119.771
KPN_00566	112.498
KPN_00567	130.449
KPN_00568	130.139
KPN_00569	165.111
KPN_00570	182.133
KPN_00571	203.642
KPN_00572	100.583
KPN_00573	80.466
KPN_00574	84.49
KPN_00575	97.488
KPN_00576	93.001
KPN_00577	168.051
KPN_00578	121.164
KPN_00579	183.216
KPN_00580	198.226
KPN_00581	171.61
KPN_00582	380.978
KPN_00583	124.723
KPN_00584	381.133
KPN_00585	356.064
KPN_00586	143.911
KPN_00587	397.845
KPN_00588	252.541
KPN_00589	129.83
KPN_00590	114.355
KPN_00591	181.669
KPN_00592	169.753
KPN_00593	115.438
KPN_00594	101.202
KPN_00595	118.998
KPN_00596	115.284
KPN_00597	131.222
KPN_00598	185.537
KPN_00599	73.967
KPN_00600	107.701
KPN_00601	161.088
KPN_00602	548.72
KPN_00603	276.526
KPN_00604	47.97
KPN_00605	953.528
KPN_00606	193.12
KPN_00607	144.53
KPN_00608	244.34
KPN_00609	294.786
KPN_00610	182.288
KPN_00611	286.12
KPN_00612	390.417
KPN_00613	207.046
KPN_00614	182.752
KPN_00615	99.964
KPN_00616	521.175
KPN_00617	47.661
KPN_00618	97.798
KPN_00619	57.1
KPN_00620	180.74
KPN_00621	244.959
KPN_00622	291.536
KPN_00623	196.679
KPN_00624	261.361
KPN_00625	291.846
KPN_00626	294.167
KPN_00627	213.236
KPN_00628	182.288
KPN_00629	177.491
KPN_00630	108.166
KPN_00631	186.311
KPN_00632	153.66
KPN_00633	160.933
KPN_00634	146.232
KPN_00635	268.48
KPN_00636	212.153
KPN_00637	197.452
KPN_00638	210.451
KPN_00639	239.233
KPN_00640	359.623
KPN_00641	243.411
KPN_00642	392.738
KPN_00643	135.865
KPN_00644	165.885
KPN_00645	220.045
KPN_00646	100.428
KPN_00647	194.977
KPN_00648	137.722
KPN_00649	106.463
KPN_00650	432.198
KPN_00651	387.322
KPN_00652	105.225
KPN_00653	103.059
KPN_00654	223.604
KPN_00655	141.745
KPN_00656	1649.718
KPN_00657	76.907
KPN_00658	140.352
KPN_00659	53.386
KPN_00660	294.476
KPN_00661	159.076
KPN_00662	129.211
KPN_00663	111.725
KPN_00664	299.119
KPN_00665	281.787
KPN_00666	216.176
KPN_00667	401.559
KPN_00668	115.129
KPN_00669	78.3
KPN_00670	107.701
KPN_00671	132.46
KPN_00672	230.567
KPN_00673	178.883
KPN_00674	743.851
KPN_00675	120.081
KPN_00676	286.585
KPN_00677	233.662
KPN_00678	177.645
KPN_00679	165.885
KPN_00680	183.526
KPN_00681	241.09
KPN_00682	293.703
KPN_00683	282.406
KPN_00684	116.831
KPN_00685	257.183
KPN_00686	330.532
KPN_00687	249.446
KPN_00695	410.534
KPN_00696	179.502
KPN_00697	277.145
KPN_00698	277.609
KPN_00699	197.917
KPN_00700	481.561
KPN_00701	416.878
