id	mda	name
VALTA	58.02	Valine_transaminase
FUM	30.317	Fumarase
SUCDi	29.625	Succinate_dehydrogenase
PDH	24.847	Pyruvate_dehydrogenase
ADK1	21.101	Adenylate_kinase
EX_gly_e	16.346	Glycine_exchange
ATPS4rpp	15.68	ATP_synthase
GLYtex	14.657	Glycine_transport via diffusion 
PPK	12.348	Polyphosphate_kinase
ARGtex	11.844	L-Arginine_transport_via_diffusion
