reaction	linear_coefficient
ARGabcpp	0.5
HISabcpp	0.5
ARGt3pp	0.5
LYSt3pp	0.5
AB6PGH	0.5
ABTA	0.5
APTNAT	0.5
ASAD	0.5
ABTDG	0.5
ABUTD	0.5
ABUTt2pp	0.5
ALCD2x	0.5
ACALD	0.5
AOBUTDs	0.5
NOtpp	0.5
ACALDtpp	0.5
CO2tpp	0.5
H2tpp	0.5
N2Otpp	0.5
BZt	0.5
O2tpp	0.5
G5SADs	0.5
SO2tpp	0.5
ACONIs	0.5
ACANTHAT	0.5
ACBIPGT	0.5
ADOCBIK	0.5
ACCOAC	0.5
ASCBPL	0.5
ASCBptspp	0.5
3NTD4pp	0.5
23PDE4pp	0.5
3NTD2pp	0.5
3NTD9pp	0.5
23PDE7pp	0.5
3NTD7pp	0.5
23PDE2pp	0.5
23PDE9pp	0.5
2AGPG181tipp	0.5
2AGPE180tipp	0.5
2AGPG141tipp	0.5
2AGPE161tipp	0.5
2AGPA141tipp	0.5
2AGPA160tipp	0.5
2AGPE160tipp	0.5
2AGPE181tipp	0.5
2AGPA180tipp	0.5
2AGPA140tipp	0.5
2AGPG140tipp	0.5
2AGPA161tipp	0.5
2AGPG180tipp	0.5
2AGPE120tipp	0.5
2AGPA120tipp	0.5
2AGPG160tipp	0.5
2AGPA181tipp	0.5
2AGPE141tipp	0.5
2AGPG161tipp	0.5
2AGPE140tipp	0.5
2AGPG120tipp	0.5
ASNN	0.5
2AGPGAT161	0.5
2AGPGAT141	0.5
2AGPGAT180	0.5
2AGPEAT120	0.5
2AGPEAT161	0.5
2AGPEAT160	0.5
2AGPEAT181	0.5
2AGPGAT181	0.5
2AGPGAT160	0.5
2AGPGAT140	0.5
2AGPGAT120	0.5
2AGPEAT180	0.5
2AGPEAT141	0.5
2AGPEAT140	0.5
ACGAMK	0.5
ACGAMT	0.5
GLYCLTDy	0.5
DKGLCNR2y	0.5
2DGULRx	0.5
2DGLCNRx	0.5
HPYRRx	0.5
2DGULRy	0.5
GLYCLTDx	0.5
HPYRRy	0.5
2DGLCNRy	0.5
DKGLCNR2x	0.5
FRUptspp	0.5
DHAPT	0.5
GLCptspp	0.5
MALTptspp	0.5
MNLptspp	0.5
GALTptspp	0.5
GAMptspp	0.5
TREptspp	0.5
ACMUMptspp	0.5
ACMANAptspp	0.5
MANptspp	0.5
FRUpts2pp	0.5
