reaction	linear_coefficient
ARGabcpp	1.0
HISabcpp	1.0
ARGt3pp	1.0
LYSt3pp	1.0
AB6PGH	1.0
ABTA	1.0
APTNAT	1.0
ASAD	1.0
ABTDG	1.0
ABUTD	1.0
ABUTt2pp	1.0
ALCD2x	1.0
ACALD	1.0
AOBUTDs	1.0
NOtpp	1.0
ACALDtpp	1.0
CO2tpp	1.0
H2tpp	1.0
N2Otpp	1.0
BZt	1.0
O2tpp	1.0
G5SADs	1.0
SO2tpp	1.0
ACONIs	1.0
ACANTHAT	1.0
ACBIPGT	1.0
ADOCBIK	1.0
ACCOAC	1.0
ASCBPL	1.0
ASCBptspp	1.0
3NTD4pp	1.0
23PDE4pp	1.0
3NTD2pp	1.0
3NTD9pp	1.0
23PDE7pp	1.0
3NTD7pp	1.0
23PDE2pp	1.0
23PDE9pp	1.0
2AGPG181tipp	1.0
2AGPE180tipp	1.0
2AGPG141tipp	1.0
2AGPE161tipp	1.0
2AGPA141tipp	1.0
2AGPA160tipp	1.0
2AGPE160tipp	1.0
2AGPE181tipp	1.0
2AGPA180tipp	1.0
2AGPA140tipp	1.0
2AGPG140tipp	1.0
2AGPA161tipp	1.0
2AGPG180tipp	1.0
2AGPE120tipp	1.0
2AGPA120tipp	1.0
2AGPG160tipp	1.0
2AGPA181tipp	1.0
2AGPE141tipp	1.0
2AGPG161tipp	1.0
2AGPE140tipp	1.0
2AGPG120tipp	1.0
ASNN	1.0
2AGPGAT161	1.0
2AGPGAT141	1.0
2AGPGAT180	1.0
2AGPEAT120	1.0
2AGPEAT161	1.0
2AGPEAT160	1.0
2AGPEAT181	1.0
2AGPGAT181	1.0
2AGPGAT160	1.0
2AGPGAT140	1.0
2AGPGAT120	1.0
2AGPEAT180	1.0
2AGPEAT141	1.0
2AGPEAT140	1.0
ACGAMK	1.0
ACGAMT	1.0
GLYCLTDy	1.0
DKGLCNR2y	1.0
2DGULRx	1.0
2DGLCNRx	1.0
HPYRRx	1.0
2DGULRy	1.0
GLYCLTDx	1.0
HPYRRy	1.0
2DGLCNRy	1.0
DKGLCNR2x	1.0
FRUptspp	1.0
DHAPT	1.0
GLCptspp	1.0
MALTptspp	1.0
MNLptspp	1.0
GALTptspp	1.0
GAMptspp	1.0
TREptspp	1.0
ACMUMptspp	1.0
ACMANAptspp	1.0
MANptspp	1.0
FRUpts2pp	1.0
SBTptspp	1.0
ACGAptspp	1.0
2INSD	1.0
ASNNpp	1.0
GLUNpp	1.0
2MAHMP	1.0
TDP	1.0
ASNS1	1.0
3HAD160	1.0
3HAD140	1.0
3HAD80	1.0
3HAD100	1.0
3HAD161	1.0
3HAD121	1.0
3HAD120	1.0
3HAD180	1.0
3HAD40	1.0
3HAD141	1.0
3HAD181	1.0
3HAD60	1.0
ASNS2	1.0
ACGK	1.0
T2DECAI	1.0
ACGS	1.0
3HCINNMH	1.0
3HPPPNH	1.0
ASNTRS	1.0
ACLS	1.0
ilvg	1.0
ACHBS	1.0
ASNt2rpp	1.0
3OADPCOAT	1.0
HXCT	1.0
BUTCT	1.0
ASO3t8pp	1.0
PPAKr	1.0
TRE6PP	1.0
ACKr	1.0
3OAR100	1.0
3OAR121	1.0
3OAR80	1.0
3OAR120	1.0
3OAR181	1.0
3OAR160	1.0
3OAR161	1.0
3OAR40	1.0
3OAR141	1.0
3OAR140	1.0
3OAR60	1.0
3OAR180	1.0
GART	1.0
3OAS181	1.0
3OAS140	1.0
3OAS180	1.0
KAS14	1.0
PYK	1.0
3OAS160	1.0
3OAS80	1.0
3OAS100	1.0
3OAS120	1.0
3OAS60	1.0
ASP1DC	1.0
ASPCT	1.0
ACLDC	1.0
3OAS121	1.0
3OAS141	1.0
MACPD	1.0
3OAS161	1.0
HSDy	1.0
ASPK	1.0
3OXCOAT	1.0
ACACT1r	1.0
ACMAMUT	1.0
ACOAD6f	1.0
ACOAD7f	1.0
ACOAD1f	1.0
ACOAD8f	1.0
ACOAD2f	1.0
ACOAD4f	1.0
ACOAD5f	1.0
ACOAD3f	1.0
ASPO4	1.0
ASPO3	1.0
ASPO5	1.0
ASPO6	1.0
KAS15	1.0
NACODA	1.0
ACODA	1.0
ASPT	1.0
ASPTA	1.0
PHETA1	1.0
TYRTA	1.0
ACONMT	1.0
ACONTb	1.0
ACONTa	1.0
ASPTRS	1.0
ACOTA	1.0
SDPTA	1.0
SOTA	1.0
ASPabcpp	1.0
GLUabcpp	1.0
ACPS1	1.0
ASPt2_2pp	1.0
OROTt2_2pp	1.0
FUMt2_2pp	1.0
MALt2_2pp	1.0
SUCCt2_2pp	1.0
MALDt2_2pp	1.0
ACS	1.0
SUCCt2_3pp	1.0
ASPt2_3pp	1.0
MALt2_3pp	1.0
SUCFUMtpp	1.0
FUMt2_3pp	1.0
CYStpp	1.0
ACSERtpp	1.0
GLUt2rpp	1.0
ASPt2pp	1.0
ACTD	1.0
ACTDa	1.0
AST	1.0
GLYCLTt4pp	1.0
ACt4pp	1.0
ADA	1.0
DADA	1.0
DSERDHr	1.0
ATHRDHr	1.0
LSERDHr	1.0
ADCL	1.0
ADCPS1	1.0
ADCS	1.0
ATPPRT	1.0
GLUN	1.0
ATPS4rpp	1.0
DHBD	1.0
ADCYRS	1.0
DHBS	1.0
ADD	1.0
DHCINDO	1.0
HPPPNDO	1.0
XANt2pp	1.0
ADEt2rpp	1.0
GUAt2pp	1.0
DHDPRy	1.0
ADNK1	1.0
NDPK2	1.0
NDPK1	1.0
NDPK6	1.0
NDPK3	1.0
NDPK8	1.0
ADK4	1.0
NDPK5	1.0
DADK	1.0
ADK3	1.0
NDPK4	1.0
ADK1	1.0
NDPK7	1.0
DHDPS	1.0
ADMDC	1.0
ADNCYC	1.0
BETALDHx	1.0
BETALDHy	1.0
INSH	1.0
CYTDH	1.0
XTSNH	1.0
URIH	1.0
ADNUC	1.0
BGLK	1.0
DHEDAA	1.0
DHFR	1.0
CYTDt2pp	1.0
THMDt2pp	1.0
URIt2pp	1.0
DCYTt2pp	1.0
DURIt2pp	1.0
ADNt2pp	1.0
DADNt2pp	1.0
DGSNt2pp	1.0
DINSt2pp	1.0
GSNt2pp	1.0
INSt2pp	1.0
DHFS	1.0
BSORx	1.0
BSORy	1.0
ADNtex	1.0
DCYTtex	1.0
GUAtex	1.0
DURItex	1.0
URItex	1.0
DADNtex	1.0
INStex	1.0
BTS4	1.0
DHNAOT4	1.0
ADOCBLS	1.0
CBL1abcpp	1.0
ADOCBLabcpp	1.0
CBIuabcpp	1.0
DHNPA2r	1.0
BUTSO3abcpp	1.0
TAURabcpp	1.0
ISETACabcpp	1.0
ETHSO3abcpp	1.0
SULFACabcpp	1.0
MSO3abcpp	1.0
DHORD2	1.0
DHORD5	1.0
DHORTS	1.0
DHPACCOAHIT	1.0
CBItonex	1.0
ADOCBLtonex	1.0
CBL1tonex	1.0
FE3HOXtonex	1.0
FEENTERtonex	1.0
FEOXAMtonex	1.0
FE3DHBZStonex	1.0
FECRMtonex	1.0
DHPDO	1.0
BZ12DOX	1.0
ADPRDP	1.0
DHPS2	1.0
ADPT	1.0
BZDIOLDH	1.0
ADSK	1.0
DHPTPE	1.0
ADSL2r	1.0
ADSL1r	1.0
DHQS	1.0
CA2t3pp	1.0
Kt3pp	1.0
NAt3pp	1.0
ADSS	1.0
AGDC	1.0
CADVtpp	1.0
AM4PA	1.0
AM3PA	1.0
AGM4PA	1.0
AGM3PA	1.0
DHQTi	1.0
DKDID	1.0
AGM4PApp	1.0
AGM3PApp	1.0
CAT	1.0
GRTT	1.0
DMATT	1.0
AGM4PH	1.0
AGM3PH	1.0
AGMH	1.0
IPDPS	1.0
DMPPS	1.0
CATDOX	1.0
AGM3Pt2pp	1.0
AGM4Pt2pp	1.0
AGMt2pp	1.0
CAt6pp	1.0
DMQMT	1.0
OHPHM	1.0
AGMHE	1.0
DMSOR2	1.0
TMAOR2	1.0
DMSOR1	1.0
TMAOR1	1.0
CBIAT	1.0
CBLAT	1.0
CYRDAAT	1.0
PHEt2rpp	1.0
TYRt2rpp	1.0
AGMPTRCtpp	1.0
CBPS	1.0
AGMT	1.0
DNAMTn2r	1.0
AGPAT180	1.0
AGPAT160	1.0
AGPAT181	1.0
AGPAT120	1.0
AGPAT140	1.0
AGPAT141	1.0
AGPAT161	1.0
AGPR	1.0
COBALT2abcpp	1.0
CD2abcpp	1.0
NI2abcpp	1.0
ZN2abcpp	1.0
CU2abcpp	1.0
HG2abcpp	1.0
CUt3	1.0
AGt3	1.0
NTPP5	1.0
DNTPPA	1.0
ZN2t3pp	1.0
CD2t3pp	1.0
MN2t3pp	1.0
NI2t3pp	1.0
COBALT2t3pp	1.0
NTPP2	1.0
NTPP1	1.0
FE2t3pp	1.0
HG2t3pp	1.0
AHCi	1.0
FE2tpp	1.0
CU2tpp	1.0
GMHEPAT	1.0
GMHEPK	1.0
CD2tpp	1.0
COBALT2tpp	1.0
ZN2tpp	1.0
MN2tpp	1.0
DPCOAK	1.0
AHCYSNS	1.0
NTPTP1	1.0
NTPTP2	1.0
IMPC	1.0
AICART	1.0
KARA2	1.0
DPR	1.0
KARA1	1.0
CDAPPA120	1.0
CDAPPA161	1.0
CDAPPA180	1.0
CDAPPA160	1.0
CDAPPA181	1.0
CDAPPA141	1.0
CDAPPA140	1.0
AIRC2	1.0
CDPMEK	1.0
AIRC3	1.0
AKGDH	1.0
CFAS180E	1.0
CFAS160G	1.0
CFAS160E	1.0
CFAS180G	1.0
GLYCL	1.0
PDH	1.0
GLYBabcpp	1.0
CHLabcpp	1.0
AKGt2rpp	1.0
CGLYabcpp	1.0
PROGLYabcpp	1.0
ALAALAabcpp	1.0
CHLt2pp	1.0
ALAALAr	1.0
GLYt2pp	1.0
GLYBt2pp	1.0
PPND	1.0
CHORM	1.0
ALAGLUE	1.0
PPNDH	1.0
ALAR	1.0
CHORS	1.0
GHMT2r	1.0
THRA2	1.0
ALATA_L2	1.0
ALATA_D2	1.0
THRA	1.0
CHRPL	1.0
DRPA	1.0
ALATRS	1.0
CITACt	1.0
VALabcpp	1.0
LEUabcpp	1.0
THRabcpp	1.0
ALAabcpp	1.0
ILEabcpp	1.0
CITL	1.0
DSBAO2	1.0
DSBAO1	1.0
DSBCGT	1.0
TDSR1	1.0
CITt4_1	1.0
RNDR3	1.0
TRDR	1.0
METSOXR1	1.0
METSOXR2	1.0
RNDR2	1.0
RNDR4	1.0
PAPSR	1.0
DSBDR	1.0
RNDR1	1.0
THIORDXi	1.0
CLPNS181pp	1.0
CLPNS180pp	1.0
CLPNS140pp	1.0
CLPNS160pp	1.0
CLPNS120pp	1.0
CLPNS161pp	1.0
CLPNS141pp	1.0
TDSR2	1.0
DSERt2pp	1.0
BALAt2pp	1.0
DALAt2pp	1.0
ALAt2pp	1.0
DSBGGT	1.0
CLt3_2pp	1.0
GLYt4pp	1.0
ALAt4pp	1.0
DTMPK	1.0
TMDK1	1.0
DURIK1	1.0
FALDH2	1.0
ALCD19	1.0
DURIPP	1.0
PUNP1	1.0
PUNP4	1.0
PUNP6	1.0
PUNP2	1.0
PUNP5	1.0
PUNP3	1.0
CMCMSAD	1.0
TMDPP	1.0
CMHMI	1.0
ALCD3ir	1.0
DUTPDP	1.0
ALDD19xr	1.0
NTPP7	1.0
NTPP3	1.0
MG2tpp	1.0
NI2tpp	1.0
GGGABADr	1.0
ALDD2x	1.0
PE120abcpp	1.0
PG180abcpp	1.0
PGP161abcpp	1.0
PGP160abcpp	1.0
PG181abcpp	1.0
PE140abcpp	1.0
COLIPAabcpp	1.0
PGP180abcpp	1.0
LIPAabcpp	1.0
PE161abcpp	1.0
PE141abcpp	1.0
PGP181abcpp	1.0
PE160abcpp	1.0
PE180abcpp	1.0
PG120abcpp	1.0
PE181abcpp	1.0
PA120abcpp	1.0
PG140abcpp	1.0
PA140abcpp	1.0
PG141abcpp	1.0
PA141abcpp	1.0
PA160abcpp	1.0
PA161abcpp	1.0
K2L4Aabcpp	1.0
